n_drones,trial,offset_deg,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance,sam_outcome,sam_victim
1,30,1.7093546123571848,True,1,18.400000000000126,6.794173083123867,kill,drone_0
1,31,24.200677458810922,True,1,18.500000000000128,4.790671709623869,kill,drone_0
1,32,16.626028539290587,True,1,18.450000000000127,5.3295380176116,kill,drone_0
1,33,-22.434945352706578,True,1,18.65000000000013,6.015031768927476,kill,drone_0
1,34,-8.046705000537465,True,1,18.450000000000127,6.887361416852653,kill,drone_0
1,35,-19.15688401446894,True,1,18.60000000000013,5.944578134719791,kill,drone_0
1,36,-20.089365911647526,True,1,18.60000000000013,5.639054603611638,kill,drone_0
1,37,-15.873213515317897,True,1,18.55000000000013,5.816359964250346,kill,drone_0
1,38,8.079197382101349,True,0,18.400000000000126,6.6840525682438345,miss,
1,39,6.83910200303416,True,1,18.400000000000126,6.743020261426148,kill,drone_0
1,40,-23.451367329498613,True,0,18.65000000000013,5.60528944556228,miss,
1,41,20.688461867443706,True,0,18.450000000000127,6.179035826841784,miss,
1,42,-17.760392464574775,True,1,18.55000000000013,6.779265580592232,kill,drone_0
1,43,-10.635807625903738,True,0,18.500000000000128,5.962792146024138,miss,
1,44,4.3480939619157795,True,1,18.400000000000126,6.804870021004754,kill,drone_0
1,45,20.547381179022295,True,0,18.450000000000127,6.208418379109635,miss,
1,46,3.6875279240918712,True,0,18.400000000000126,6.813332980976771,miss,
1,47,8.462233167821012,True,1,18.400000000000126,6.662776708607184,kill,drone_0
1,48,1.2964480097726607,True,1,18.400000000000126,6.7810856138346445,kill,drone_0
1,49,-17.152375086983625,True,0,18.55000000000013,6.949010330672068,miss,
1,50,7.393442702020806,True,0,18.400000000000126,6.715943194962678,miss,
1,51,18.376301402879662,True,1,18.450000000000127,6.42200767623478,kill,drone_0
1,52,15.986787276198099,True,1,18.450000000000127,5.495271048377904,kill,drone_0
1,53,19.861688680730843,True,0,18.450000000000127,6.357887328362087,miss,
1,54,15.102548322709536,True,1,18.400000000000126,6.258585798714493,kill,drone_0
1,55,20.87173316863705,True,1,18.450000000000127,6.135003331881651,kill,drone_0
1,56,23.483913759424816,True,1,18.500000000000128,4.931666442176807,kill,drone_0
1,57,5.74351246759311,True,0,18.400000000000126,6.77662739681823,miss,
1,58,23.268685901671773,True,0,18.500000000000128,4.977007194086844,miss,
1,59,0.8629888122633105,True,1,18.400000000000126,6.775645071302905,kill,drone_0
2,0,20.19512720250242,True,1,18.450000000000127,6.286070063187799,kill,drone_0
2,1,14.17016276694514,True,1,18.400000000000126,6.409893996878664,kill,drone_0
2,2,17.298080385847136,True,1,18.450000000000127,5.168617055616493,kill,drone_0
2,3,18.493942935693212,True,1,18.450000000000127,6.4217795176131975,kill,drone_0
2,4,-19.121225288744693,True,0,18.55000000000013,6.634191828071199,miss,
2,5,-16.1355819727886,True,0,18.500000000000128,6.605194806750148,miss,
2,6,-22.088665491993794,True,1,18.55000000000013,6.603412085786116,kill,drone_1
2,7,17.14643720540733,True,1,18.450000000000127,5.204210075898711,kill,drone_0
2,8,9.820247773952197,True,1,18.400000000000126,6.577074395692601,kill,drone_0
2,9,1.1642052183338016,True,1,18.400000000000126,6.779712745705942,kill,drone_0
2,10,-21.06374665116126,True,1,18.55000000000013,6.679079263081147,kill,drone_1
2,11,-4.763410355097587,True,0,18.450000000000127,5.890429810267601,miss,
2,12,1.909478997925895,True,1,18.400000000000126,6.8043775556855515,kill,drone_0
2,13,-24.338591798571034,True,1,18.60000000000013,5.659847615167718,kill,drone_1
2,14,-9.87337720925735,True,1,18.500000000000128,5.741569838711317,kill,drone_1
2,15,-18.4188652750124,True,0,18.55000000000013,6.9182993354690145,miss,
2,16,-21.08621376266176,True,1,18.55000000000013,6.675793418628205,kill,drone_1
2,17,4.723907965798279,True,0,18.400000000000126,7.426286540171202,miss,
2,18,3.4664118700915836,True,1,18.400000000000126,6.817984157452137,kill,drone_0
2,19,1.7387030915817903,True,0,18.400000000000126,6.794273057582128,miss,
2,20,-2.0663115818404343,True,1,18.400000000000126,6.604739362616275,kill,drone_0
2,21,-20.173546374235258,True,1,18.55000000000013,5.297559298681193,kill,drone_1
2,22,14.903810914057386,True,0,18.400000000000126,6.287341711374351,miss,
2,23,-4.702489414744377,True,1,18.450000000000127,5.896177890388538,kill,drone_0
2,24,8.820097856233403,True,0,18.400000000000126,6.64189815813394,miss,
2,25,-1.661105043671558,True,1,18.400000000000126,8.0319446130838,kill,drone_0
2,26,16.42366031067636,True,1,18.450000000000127,5.3694318403146015,kill,drone_0
2,27,20.445047833863022,True,0,18.450000000000127,6.232208852981883,miss,
2,28,-6.075475943907616,True,1,18.450000000000127,5.752465700896343,kill,drone_0
2,29,24.498359390053565,True,1,18.500000000000128,4.628269851984388,kill,drone_0
2,30,-6.930152674585276,True,0,18.450000000000127,7.047715046634018,miss,
